"","PlayerName","Season","PuttingAverage","DrivingDistance","DrivingAccuracy","ScoringAvg","Scrambling","OnePutts","TwoPutts","ThreePutts","AvgOfficialWGR","ProximityToHole","GreensFringeInReg","SandSave","OfficialMoney"
"174","Garth Mulroy",2010,1.819,295.6,60.7,71.49,20,310,522,39,0.26,417,79.23,40.85,287117
"175","Omar Uresti",2010,1.819,272,76.08,71.14,32.56,430,739,39,0.19,386,75.52,51.16,283455
"176","Rocco Mediate",2010,1.821,278.1,68.27,71.08,21.43,422,751,55,0.78,396,79.66,43.18,1138067
"177","Mark Calcavecchia",2010,1.822,281,62.18,72.1,25.58,271,431,41,0.23,419,74.59,45.21,119980
"178","David Lutterus",2010,1.824,291.9,56.61,71.97,23.61,402,674,41,0.06,447,73.64,48.72,123169
"179","Mathew Goggin",2010,1.825,289.3,65.24,71.31,28,507,953,55,0.6,434,80.26,41.27,483537
"180","Kenny Perry",2010,1.825,290.6,67.99,70.88,24.39,431,724,53,1.98,396,79.08,56.25,968810
"181","Troy Matteson",2010,1.828,296.3,60.36,70.83,25.33,493,960,48,0.79,409,79.89,36.29,736059
"182","Greg Kraft",2010,1.829,273.2,62.5,72.73,24.24,302,483,34,0.06,434,72,48.05,52176
"183","Roland Thatcher",2010,1.829,288,60.04,71.51,35.53,472,753,52,0.65,417,77.7,45.61,796157
"184","Craig Bowden",2010,1.831,270,72.86,72.07,34,337,535,33,0.21,419,67.95,40.26,140935
"185","Mathias Gronberg",2010,1.831,293.7,64.28,71.36,24.49,373,553,52,0.41,435,76.27,55.17,322130
"186","Kris Blanks",2010,1.832,286.4,66.87,71.03,20.34,489,922,69,0.7,410,78.14,40.77,1109178
"187","Trevor Immelman",2010,1.833,286.4,64.07,71.36,36.84,354,592,34,0.69,412,77.94,59.77,422171
"188","Justin Bolli",2010,1.834,281.8,66.28,72.4,27.45,315,527,37,0.26,417,73.89,40.51,73990
"189","Cameron Tringale",2010,1.834,294.5,58.71,71.15,29.79,296,535,42,0.26,427,81.3,39.66,302618
"190","Billy Mayfair",2010,1.835,284,70.29,70.97,32.14,420,768,58,0.43,408,77.55,50,642230
"191","Roger Tambellini",2010,1.842,292,62.57,71.49,22.08,401,779,49,0.34,426,79,43.48,370735
"192","Jeff Gove",2010,1.85,288.7,62.96,71.89,26.09,291,580,42,0.21,417,78.75,37.14,92155
"193","Luke Donald",2011,1.7,284.1,64.29,69.3,43.64,529,652,15,10.03,394,78.11,59.09,6683214
"194","Steve Stricker",2011,1.71,288.8,62.47,69.33,31.82,556,644,27,5.33,405,77.06,52.07,3992784
"195","Rickie Fowler",2011,1.723,299.5,56.7,70.51,30.43,602,779,44,3.24,408,75.74,45.07,2084681
"196","Kevin Na",2011,1.724,279.8,57.66,70.43,36.26,669,780,34,2,433,73.89,55.35,2336965
"197","Andres Romero",2011,1.727,294.7,57.8,70.68,23.61,581,711,40,1.35,444,79.64,47.06,1313133
"198","Brandt Snedeker",2011,1.727,287.2,64.02,69.94,24.62,650,828,39,3.09,413,73.22,49.66,3587205
"199","Bryce Molder",2011,1.73,282,66.46,70.17,31.58,619,785,27,1.44,418,75.71,57.52,1957944
"200","Webb Simpson",2011,1.731,296.2,61.93,69.16,29.17,706,995,41,5.03,407,80.14,52,6347353
"201","Greg Chalmers",2011,1.732,279.6,62.42,70.59,38.54,685,808,29,2.22,444,70.89,61.68,832190
"202","Matt Kuchar",2011,1.735,286.2,64.75,69.6,26.53,652,885,28,4.71,408,77.22,58.86,4233919
"203","Jason Day",2011,1.737,302.6,54.7,69.86,38.55,572,692,37,5.07,454,75.85,60.96,3962646
"204","Nick Watney",2011,1.738,301.9,58.15,69.57,36.36,567,762,33,4.69,420,77.88,48.12,5290673
"205","Freddie Jacobson",2011,1.739,287.4,60.82,70.16,34.15,640,820,28,3.08,429,74.79,52.73,2488324
"206","Aaron Baddeley",2011,1.741,296.2,55.67,70.22,26.15,563,730,34,2.79,449,78.25,54.38,3094692
"207","Steven Bowditch",2011,1.741,308.3,55.12,71.2,21.36,612,800,51,0.6,457,75.71,46.79,621377
"208","Carl Pettersson",2011,1.744,291.8,62.29,70.25,32.65,664,951,36,1.48,417,77.19,50.38,1540722
"209","Steve Flesch",2011,1.747,282.5,61.43,71.2,19.51,631,822,41,0.36,447,68.19,52.03,594621
"210","Lee Janzen",2011,1.747,290.1,63.04,71.24,24.32,391,574,26,0.2,424,73.23,49.38,216992
"211","Brendon de Jonge",2011,1.748,287.8,64.04,70.19,36.78,730,NA,40,1.25,412,76.69,48.73,1241325
"212","Chris Couch",2011,1.749,296.8,64.96,70.18,34.62,542,724,31,0.78,428,73.94,47.01,922495
